British Virgin Islands,VGB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.633,7.034,6.438,7.829,5.09,4.952,4.792,4.953,4.88,5.377,5.62,6.38,7.613,6.515
British Virgin Islands,VGB,Net migration,SM.POP.NETM,-75,216,-46,126,285,381,253,326,658,0,302,272,128,200
British Virgin Islands,VGB,Population growth (annual %),SP.POP.GROW,0.864287962933981,4.96411680659707,1.33152544888146,2.11970638293611,3.46017952218162,3.42615248692953,2.3992676545846,2.61037749426884,3.38472542151015,1.87551285025179,1.35422128878554,0.975300318670376,0.683520845329328,0.586286459995554
Brunei Darussalam,BRN,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,38.178,36.03,34.427,31.629,30.223,28.466,22.9,19.012,17.138,17.128,16.546,14.165,13.8,13.493
Brunei Darussalam,BRN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.278,6.75,5.339,4.573,4.168,3.87,3.532,3.331,3.438,3.751,4.29,4.975,5.211,5.431
Brunei Darussalam,BRN,Net migration,SM.POP.NETM,1656,1484,744,993,1816,1670,1356,1660,1163,468,-485,-395,-192,0
Brunei Darussalam,BRN,Population growth (annual %),SP.POP.GROW,4.54230702214544,4.08007462865138,3.40132224970002,3.22842416914114,3.40554108355459,3.14403626597194,2.42367607464414,2.08216354349989,1.72066656308508,1.46041834447089,1.14093587780034,0.835902308961215,0.822461681539278,0.811520875721177
Bulgaria,BGR,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,15.3,16.3,16.6,14.5,13.3,12.1,8.6,9,9.3,10.2,9.2,8.5,8.5,8.8
Bulgaria,BGR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.2,9.1,10.3,11.1,12,12.5,13.6,14.1,14.8,14.9,15.3,18,21.7,18.4
Bulgaria,BGR,Net migration,SM.POP.NETM,1838,2745,-12089,-28047,-32050,-29479,-22495,-11295,-3832,-8686,-15356,-9902,-8716,-4800
Bulgaria,BGR,Population growth (annual %),SP.POP.GROW,0.731911035292208,0.654727362472727,0.482739307856323,0.40248874474625,-0.0014731135024134,-1.80375047906806,-0.44539850047226,-0.493896416633318,-0.752977445493645,-0.658275446635908,-0.638069468160719,-0.60024151846542,-0.814846471528947,-6.18725298204958
Canada,CAN,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,21.3,17.4,15.8,15.4,14.9,15,12.9,10.7,10.7,11.2,10.7,9.5,9.7,9
Canada,CAN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.6,7.3,7.3,7.1,7,7.3,7.2,7.1,7.1,7.1,7.4,8.1,8.2,8.6
Canada,CAN,Net migration,SM.POP.NETM,103588,295787,130169,101270,39796,145270,137472,201617,204710,227724,232738,195181,195181,248586
Canada,CAN,Population growth (annual %),SP.POP.GROW,1.81016659700882,1.39783160033129,1.45942491323998,1.28959497847156,0.91377427539001,1.50766067284807,1.03476948386834,0.931281553452429,0.94708626967041,1.11135202971694,0.760300145238936,1.08436897113225,0.553902422386893,1.81192255344382
Cayman Islands,CYM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,..,..,..,..,17.6,18.6,14.9,15.4,15.7,14.8,11,12.4,12.4,11.7
Cayman Islands,CYM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..,..,..,..,5.6,4.1,3.4,3.4,3.8,3,2.9,3.3,4,4.5
Cayman Islands,CYM,Net migration,SM.POP.NETM,59,297,463,567,602,1010,1099,1020,985,895,1079,766,276,400
Cayman Islands,CYM,Population growth (annual %),SP.POP.GROW,2.09307457656919,3.39899477293462,5.0030872620657,4.31394926606177,4.21659742518106,4.47487011364269,4.31085120631692,3.49733538150567,3.13242221135563,2.75993369995976,2.24463644959813,1.76406837687354,1.21820372930296,0.83308238204777
